x,y
"['民', '眾', '：', '有', '阿', '有', '阿', '有', '阿', '，', '也', '一', '樣', '在', '藥', '學']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-education', 'I-education']"
"['民', '眾', '：', '有', '阿', '有', '阿', '有', '阿', '，', '也', '一', '樣', '在', '台', '大', '經', '濟', '系']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education']"
"['民', '眾', '：', '有', '阿', '有', '阿', '有', '阿', '，', '也', '一', '樣', '在', '高', '雄', '大', '學']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education']"
"['民', '眾', '：', '有', '阿', '有', '阿', '有', '阿', '，', '也', '一', '樣', '在', '法', '律', '系']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education']"
"['醫', '師', '：', '藥', '學', '，', '碩', '班', '這', '樣']","['O', 'O', 'O', 'B-education', 'I-education', 'O', 'O', 'O', 'O', 'O']"
"['醫', '師', '：', '台', '大', '經', '濟', '系', '，', '碩', '班', '這', '樣']","['O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'O', 'O', 'O', 'O', 'O']"
"['醫', '師', '：', '高', '雄', '大', '學', '，', '碩', '班', '這', '樣']","['O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'O', 'O', 'O', 'O', 'O']"
"['醫', '師', '：', '法', '律', '系', '，', '碩', '班', '這', '樣']","['O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'O', 'O', 'O', 'O', 'O']"
"['民', '眾', '：', '喔', '，', '因', '為', '我', '讀', '哈', '佛', '，', '所', '以', '就', '原', '本', '就', '知', '道']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-education', 'I-education', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['民', '眾', '：', '喔', '，', '因', '為', '我', '讀', '台', '大', '經', '濟', '系', '，', '所', '以', '就', '原', '本', '就', '知', '道']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'I-education', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['民', '眾', '：', '喔', '，', '因', '為', '我', '讀', '高', '雄', '大', '學', '，', '所', '以', '就', '原', '本', '就', '知', '道']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['民', '眾', '：', '喔', '，', '因', '為', '我', '讀', '法', '律', '系', '，', '所', '以', '就', '原', '本', '就', '知', '道']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['民', '眾', '：', '我', '一', '個', '孫', '子', '齁', '，', '現', '在', '在', '讀', '哈', '佛', '啦', '，', '他', '喉', '嚨', '這', '邊', '腫', '起', '來', '了']","['O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O', 'B-education', 'I-education', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['民', '眾', '：', '我', '一', '個', '孫', '子', '齁', '，', '現', '在', '在', '讀', '藥', '學', '啦', '，', '他', '喉', '嚨', '這', '邊', '腫', '起', '來', '了']","['O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O', 'B-education', 'I-education', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['民', '眾', '：', '我', '一', '個', '孫', '子', '齁', '，', '現', '在', '在', '讀', '高', '雄', '大', '學', '啦', '，', '他', '喉', '嚨', '這', '邊', '腫', '起', '來', '了']","['O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'I-education', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['民', '眾', '：', '我', '一', '個', '孫', '子', '齁', '，', '現', '在', '在', '讀', '法', '律', '系', '啦', '，', '他', '喉', '嚨', '這', '邊', '腫', '起', '來', '了']","['O', 'O', 'O', 'O', 'O', 'O', 'B-family', 'I-family', 'O', 'O', 'O', 'O', 'O', 'O', 'B-education', 'I-education', 'I-education', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
